year,month,day,hour,solar
2018,8,3,14,164.35691666666668
2018,8,3,15,115.2675
2018,8,3,16,80.75233333333334
2018,8,3,17,58.69533333333332
2018,8,3,18,13.692833333333335
2018,8,3,19,1.5049999999999997
2018,8,3,20,0.0
2018,8,3,21,0.0
2018,8,3,22,0.0
2018,8,3,23,0.0
2018,8,4,0,0.0
2018,8,4,1,0.0
2018,8,4,2,0.0
2018,8,4,3,5.597000000000002
2018,8,4,4,19.35433333333333
2018,8,4,5,59.854000000000006
2018,8,4,6,76.71216666666669
2018,8,4,7,195.5895
2018,8,4,8,120.54416666666668
2018,8,4,9,157.46566666666666
2018,8,4,10,266.45283333333333
2018,8,4,11,362.2120833333335
2018,8,4,12,494.0285000000002
2018,8,4,13,341.3379999999999
2018,8,4,14,243.93250000000003
2018,8,4,15,126.99183333333332
2018,8,4,16,60.43333333333335
2018,8,4,17,41.013166666666656
2018,8,4,18,12.830333333333325
2018,8,4,19,2.6648333333333336
2018,8,4,20,0.0
2018,8,4,21,0.0
2018,8,4,22,0.0
2018,8,4,23,0.0
2018,8,5,0,0.0
2018,8,5,1,0.0
2018,8,5,2,0.0
2018,8,5,3,0.2438333333333333
2018,8,5,4,3.5888333333333335
2018,8,5,5,47.97466666666666
2018,8,5,6,121.48316666666665
2018,8,5,7,163.44241666666662
2018,8,5,8,154.17083333333338
2018,8,5,9,58.12933333333332
2018,8,5,10,432.5798333333333
2018,8,5,11,236.95041666666677
2018,8,5,12,277.6359999999999
2018,8,5,13,332.6
2018,8,5,14,286.54066666666677
2018,8,5,15,188.7433333333333
2018,8,5,16,152.75566666666666
2018,8,5,17,118.17633333333332
2018,8,5,18,12.482166666666672
2018,8,5,19,3.5640000000000014
2018,8,5,20,0.0
2018,8,5,21,0.0
2018,8,5,22,0.0
2018,8,5,23,0.0
2018,8,6,0,0.0
2018,8,6,1,0.0
2018,8,6,2,0.0
2018,8,6,3,9.355166666666667
2018,8,6,4,31.01383333333334
2018,8,6,5,51.59166666666668
2018,8,6,6,102.57933333333334
2018,8,6,7,95.53966666666666
2018,8,6,8,138.43800000000005
2018,8,6,9,126.927
2018,8,6,10,305.42083333333335
2018,8,6,11,185.21133333333336
2018,8,6,12,163.6809166666666
2018,8,6,13,224.29416666666665
2018,8,6,14,385.42716666666655
2018,8,6,15,315.8573333333334
2018,8,6,16,213.29783333333336
2018,8,6,17,102.23166666666664
2018,8,6,18,39.880833333333335
2018,8,6,19,8.828000000000007
2018,8,6,20,0.25699999999999995
2018,8,6,21,0.0
2018,8,6,22,0.0
2018,8,6,23,0.0
2018,8,7,0,0.0
2018,8,7,1,0.0
2018,8,7,2,1.0168333333333341
2018,8,7,3,10.114333333333333
2018,8,7,4,42.686333333333344
2018,8,7,5,49.62891666666666
2018,8,7,6,88.34550000000004
2018,8,7,7,160.75966666666667
2018,8,7,8,230.5608333333334
2018,8,7,9,363.1385
2018,8,7,10,379.00566666666657
2018,8,7,11,515.3528333333335
2018,8,7,12,492.8833333333334
2018,8,7,13,452.77808333333326
2018,8,7,14,375.222
2018,8,7,15,184.503
2018,8,7,16,144.14516666666663
2018,8,7,17,74.09933333333333
2018,8,7,18,29.843333333333327
2018,8,7,19,6.884499999999997
2018,8,7,20,0.0
2018,8,7,21,0.0
2018,8,7,22,0.0
2018,8,7,23,0.0
2018,8,8,0,0.0
2018,8,8,1,0.0
2018,8,8,2,0.077
2018,8,8,3,9.998833333333334
2018,8,8,4,37.80866666666667
2018,8,8,5,113.45941666666664
2018,8,8,6,144.6605000000001
2018,8,8,7,144.4539999999999
2018,8,8,8,286.29750000000007
2018,8,8,9,340.4377500000001
2018,8,8,10,249.01566666666665
2018,8,8,11,137.60850000000008
2018,8,8,12,55.20749999999996
2018,8,8,13,124.02558333333332
2018,8,8,14,213.87016666666668
2018,8,8,15,163.64216666666667
2018,8,8,16,132.66699999999994
2018,8,8,17,128.9924166666666
2018,8,8,18,28.04183333333335
2018,8,8,19,4.041000000000002
2018,8,8,20,0.0
2018,8,8,21,0.0
2018,8,8,22,0.0
2018,8,8,23,0.0
2018,8,9,0,0.0
2018,8,9,1,0.0
2018,8,9,2,0.0
2018,8,9,3,0.2828333333333333
2018,8,9,4,7.926500000000002
2018,8,9,5,27.91858333333332
2018,8,9,6,46.54700000000001
2018,8,9,7,46.25050000000001
2018,8,9,8,98.87216666666669
2018,8,9,9,148.7403333333333
2018,8,9,10,129.41074999999998
2018,8,9,11,221.9393333333333
2018,8,9,12,365.2096666666666
2018,8,9,13,396.32716666666647
2018,8,9,14,298.45208333333346
2018,8,9,15,184.99266666666668
2018,8,9,16,108.74333333333335
2018,8,9,17,52.87900000000001
2018,8,9,18,21.76783333333334
2018,8,9,19,2.559833333333333
2018,8,9,20,0.0
2018,8,9,21,0.0
2018,8,9,22,0.0
2018,8,9,23,0.0
2018,8,10,0,0.0
2018,8,10,1,0.0
2018,8,10,2,0.0
2018,8,10,3,0.34649999999999986
2018,8,10,4,5.661500000000002
2018,8,10,5,13.589500000000005
2018,8,10,6,27.089
